{40.6642738, -73.9385004}
{34.0193936, -118.4108248}
{41.8375511, -87.6818441}
{29.7804724, -95.3863425}
{40.0093755, -75.1333459}
{33.5721625, -112.0879662}
{29.4724026, -98.5251419}
{32.8152995, -117.134993}
{32.794176, -96.7655033}
{37.2968672, -121.8193058}
{39.7779954, -86.1458378}
{30.3370193, -81.6613021}
{37.759881, -122.437392}
{30.3071816, -97.7559964}
{39.9847989, -82.9850438}
{32.7795423, -97.3463354}
{35.2087069, -80.8307389}
{42.3830375, -83.1022365}
{31.8483598, -106.426979}
{35.1035431, -89.9784984}
{36.1691287, -86.7847898}
{39.3002135, -76.6105159}
{42.33196, -71.0201725}
{47.6204993, -122.3508761}
{38.9041485, -77.0170942}
{39.7618487, -104.8806251}
{43.0633484, -87.9666952}
{45.5369506, -122.649971}
{36.2277116, -115.2640448}
{35.4670795, -97.5136565}
{35.1055517, -106.6473884}
{32.1542888, -110.8710622}
{36.7826736, -119.794492}
{38.5665924, -121.4686318}
{33.8091018, -118.1553273}
{39.125212, -94.5511362}
{33.4019259, -111.7173787}
{36.7793219, -76.0240202}
{33.7629088, -84.4226745}
{38.8672553, -104.760749}
